Bat_ID	Bat Band	Treatment	Group	Sex
APS36007	DMR03159	CP+S	GP 2	Female
APS36008	DMR03193	NoCo	GP 2	Male
APS36021	DMR03152	CP	GP 2	Male
APS36026	DMR03183	CP	GP 2	Female
APS36033	DMR03155	SHAM	GP 2	Female
APS36036	DMR03187	CP+S	GP 1	Female
APS36057	DMR03186	CP	GP 2	Male
APS36103	DMR03185	CS	GP 1	Female
APS36106	DMR03162	CP+S	GP 1	Female
APS36108	DMR03191	CP+S	GP 2	Male
APS60073	DMR03170	NoCo	GP 1	Female
APS60074	DMR03172	CS	GP 2	Female
APS60081	DMR03195	NoCo	GP 1	Male
APS60111	DMR03156	SHAM	GP 2	Female
APS60113	DMR03192	SHAM	GP 2	Male
APS60115	DMR03168	CS	GP 1	Female
APS60118	DMR03157	CP	GP 1	Male
APS60132	DMR03182	CP+S	GP 1	Female
APS60135	DMR03181	SHAM	GP 2	Female
APS60146	DMR03180	SHAM	GP 2	Male
APS60160	DMR03184	CP	GP 1	Female
APS36010	DMR03158	CP+S	GP 2	Male
APS60079	DMR03153	NoCo	GP 2	Male
APS60088	DMR03164	CP	GP 2	Female
APS60123	DMR03154	SHAM	GP 1	Male
APS60156	DMR03163	CS	GP 2	Female
